PERMIT_TYPE	WDID	APP_ID	REPORTING_YEAR	REPORT_ID	EVENT_TYPE	MONITORING_LOCATION_NAME	MONITORING_LOCATION_TYPE	MONITOR_LOCATION_DESCRIPTION	MONITORING_LATITUDE	MONITORING_LONGITUDE	SAMPLE_ID	SAMPLE_DATE	SAMPLE_TIME	DISCHARGE_START_DATE	DISCHARGE_START_TIME	PARAMETER	RESULT_QUALIFIER	RESULT	UNITS	ANALYTICAL_METHOD	MDL	RL	DISCHARGE_END_DATE	DISCHARGE_END_TIME	CERTIFIER_NAME	CERTIFIED_DATE
Industrial	2 01I000434	180609	2015	866962	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172555	01/06/2016	08:30			Iron, Total	=	12	mg/L	E200.7	.17				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866962	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172555	01/06/2016	08:30			Total Suspended Solids (TSS)	=	180	mg/L	A2540D	7.1				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866962	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172555	01/06/2016	08:30			pH	=	7.96	SU	A4500HB	.1				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866964	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172558	02/18/2016	07:30			Oil and Grease	<	1.5	mg/L	E1664A	1.5				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866964	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172558	02/18/2016	07:30			Total Suspended Solids (TSS)	=	30	mg/L	A2540D	.58				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866964	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172558	02/18/2016	07:30			pH	=	7.2	SU	A4500HB	.1				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866964	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172558	02/18/2016	07:30			Iron, Total	=	1.1	mg/L	E200.7	.097				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2016	908238	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2215525	10/28/2016	08:30			Total Suspended Solids (TSS)	=	12	mg/L	A2540D	.29				Joe Brooks	09-DEC-16 08.17.26.254000 AM
Industrial	2 01I000434	180609	2016	908238	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2215525	10/28/2016	08:30			pH	=	7.7	SU	pH_Paper	.1				Joe Brooks	09-DEC-16 08.17.26.254000 AM
Industrial	2 01I000434	180609	2016	908238	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2215525	10/28/2016	08:30			Oil and Grease	=	1.9	mg/L	A5220B	1.4				Joe Brooks	09-DEC-16 08.17.26.254000 AM
Industrial	2 01I000434	180609	2016	908238	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2215525	10/28/2016	08:30			Iron, Total	=	.69	mg/L	A3111B	.4				Joe Brooks	09-DEC-16 08.17.26.254000 AM
Industrial	2 01I000434	180609	2016	915446	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260680	12/08/2016	08:10			Oil and Grease	ND	1.5	mg/L	E1664A	1.5				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2016	915446	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260680	12/08/2016	08:10			Total Suspended Solids (TSS)	=	5.9	mg/L	A2540D	.5				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2016	915446	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260680	12/08/2016	08:10			pH	=	7.73	SU	A4500HB	.1				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2016	915446	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260680	12/08/2016	08:10			Iron, Total Recoverable	=	610	ug/L	SW6010B	.4				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2016	926604	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260694	02/03/2017	07:00			pH	=	7.6	SU	A4500HB	.1				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2016	926604	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260694	02/03/2017	07:00			Iron, Total Recoverable	=	1	mg/L	E200.7	.4				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2016	926604	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260694	02/03/2017	07:00			Total Suspended Solids (TSS)	=	19	mg/L	A2540D	.93				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2016	926604	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2260694	02/03/2017	07:00			Oil and Grease	ND	1.5	mg/L	E1664A	1.5				Joe Brooks	06-MAR-17 11.35.22.725000 AM
Industrial	2 01I000434	180609	2017	1000538	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359398	03/21/2018	10:55			pH	=	7.9	SU	A4500HB	.1				Geoffrey Weigand	22-JUN-18 04.57.14.510000 PM
Industrial	2 01I000434	180609	2017	1000538	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359398	03/21/2018	10:55			Oil and Grease	ND	1.3	mg/L	E1664A	1.3				Geoffrey Weigand	22-JUN-18 04.57.14.510000 PM
Industrial	2 01I000434	180609	2017	1000538	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359398	03/21/2018	10:55			Total Suspended Solids (TSS)	=	8.8	mg/L	A2540D	.74				Geoffrey Weigand	22-JUN-18 04.57.14.510000 PM
Industrial	2 01I000434	180609	2017	1000538	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359398	03/21/2018	10:55			Iron, Total Recoverable	ND		ug/L	SW6010B	400				Geoffrey Weigand	22-JUN-18 04.57.14.510000 PM
Industrial	2 01I000434	180609	2017	1000543	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359408	03/01/2018	09:45			Total Suspended Solids (TSS)	=	4.1	mg/L	A2540D	.53				Geoffrey Weigand	22-JUN-18 04.34.58.667000 PM
Industrial	2 01I000434	180609	2017	1000543	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359408	03/01/2018	09:45			Iron, Total Recoverable	=	.56	mg/L	E200.7	.4				Geoffrey Weigand	22-JUN-18 04.34.58.667000 PM
Industrial	2 01I000434	180609	2017	1000543	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359408	03/01/2018	09:45			pH	=	7.6	SU	A4500HB	.1				Geoffrey Weigand	22-JUN-18 04.34.58.667000 PM
Industrial	2 01I000434	180609	2017	1000543	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359408	03/01/2018	09:45			Oil and Grease	ND	1.5	mg/L	E1664A	1.5				Geoffrey Weigand	22-JUN-18 04.34.58.667000 PM
Industrial	2 01I000434	180609	2017	1000551	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359431	03/14/2018	12:50			pH	=	8	SU	A4500HB	.1				Geoffrey Weigand	22-JUN-18 05.06.57.686000 PM
Industrial	2 01I000434	180609	2017	1000551	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359431	03/14/2018	12:50			Oil and Grease	=	1.9	mg/L	E1664A	1.5				Geoffrey Weigand	22-JUN-18 05.06.57.686000 PM
Industrial	2 01I000434	180609	2017	1000551	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359431	03/14/2018	12:50			Total Suspended Solids (TSS)	=	9.2	mg/L	A2540D	.74				Geoffrey Weigand	22-JUN-18 05.06.57.686000 PM
Industrial	2 01I000434	180609	2017	1000551	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359431	03/14/2018	12:50			Iron, Total Recoverable	=	.56	mg/L	E200.7	.4				Geoffrey Weigand	22-JUN-18 05.06.57.686000 PM
Industrial	2 01I000434	180609	2017	1000554	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359430	11/16/2017	08:20			Iron, Total Recoverable	=	1800	ug/L	SW6010B	400				Geoffrey Weigand	22-JUN-18 05.01.20.434000 PM
Industrial	2 01I000434	180609	2017	1000554	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359430	11/16/2017	08:20			Oil and Grease	ND	1.6	mg/L	E1664A	1.6				Geoffrey Weigand	22-JUN-18 05.01.20.434000 PM
Industrial	2 01I000434	180609	2017	1000554	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359430	11/16/2017	08:20			Total Suspended Solids (TSS)	=	13	mg/L	A2540D	.93				Geoffrey Weigand	22-JUN-18 05.01.20.434000 PM
Industrial	2 01I000434	180609	2017	1000554	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2359430	11/16/2017	08:20			pH	=	8.1	SU	A4500HB	.1				Geoffrey Weigand	22-JUN-18 05.01.20.434000 PM
Industrial	2 01I000434	180609	2018	1029708	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2387079	11/29/2018	08:15			Iron, Total	=	2.5	mg/L	E200.7	.4	1			Todd Ravazza	15-FEB-19 11.12.01.217000 AM
Industrial	2 01I000434	180609	2018	1029708	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2387079	11/29/2018	08:15			pH	=	7.5	SU	A4500HB	.1	.1			Todd Ravazza	15-FEB-19 11.12.01.217000 AM
Industrial	2 01I000434	180609	2018	1029708	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2387079	11/29/2018	08:15			Oil and Grease	ND		mg/L	E1664A	1.6	1.6			Todd Ravazza	15-FEB-19 11.12.01.217000 AM
Industrial	2 01I000434	180609	2018	1029708	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2387079	11/29/2018	08:15			Total Suspended Solids (TSS)	=	50	mg/L	A2540D	.74	.74			Todd Ravazza	15-FEB-19 11.12.01.217000 AM
Industrial	2 01I000434	180609	2018	1037873	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2408288	01/17/2019	07:35			pH	=	7	SU	pH_Field	.1				Todd Ravazza	15-FEB-19 11.20.41.935000 AM
Industrial	2 01I000434	180609	2018	1037873	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2408288	01/17/2019	07:35			Iron, Total	ND		mg/L	E200.7	.4				Todd Ravazza	15-FEB-19 11.20.41.935000 AM
Industrial	2 01I000434	180609	2018	1037873	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2408288	01/17/2019	07:35			Total Suspended Solids (TSS)	=	2.1	mg/L	A2540D	.37				Todd Ravazza	15-FEB-19 11.20.41.935000 AM
Industrial	2 01I000434	180609	2018	1037873	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2408288	01/17/2019	07:35			Oil and Grease	ND		mg/L	E1664A	1.6				Todd Ravazza	15-FEB-19 11.20.41.935000 AM
Industrial	2 01I000434	180609	2018	1050162	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2432683	02/27/2019	06:00	02/27/2019	04:00	Total Suspended Solids (TSS)	=	4.7	mg/L	A2540D	.37	1			Todd Ravazza	15-SEP-20 09.25.32.950000 AM
Industrial	2 01I000434	180609	2018	1050162	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2432683	02/27/2019	06:00	02/27/2019	04:00	pH	=	7.7	SU	pH_Field	.1	.1			Todd Ravazza	15-SEP-20 09.25.32.950000 AM
Industrial	2 01I000434	180609	2018	1050162	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2432683	02/27/2019	06:00	02/27/2019	04:00	Iron, Total	=	.4	mg/L	E200.7	.4	1			Todd Ravazza	15-SEP-20 09.25.32.950000 AM
Industrial	2 01I000434	180609	2018	1050162	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2432683	02/27/2019	06:00	02/27/2019	04:00	Oil and Grease	=	3.3	mg/L	E1664A	1.5	5.6			Todd Ravazza	15-SEP-20 09.25.32.950000 AM
Industrial	2 01I000434	180609	2018	1054958	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444656	03/06/2019	08:00	03/06/2019	06:30	Iron, Total	<	.4	mg/L	E200.7	.4	1			Todd Ravazza	15-SEP-20 09.30.22.442000 AM
Industrial	2 01I000434	180609	2018	1054958	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444656	03/06/2019	08:00	03/06/2019	06:30	pH	=	7.3	SU	A4500HB	.1	.1			Todd Ravazza	15-SEP-20 09.30.22.442000 AM
Industrial	2 01I000434	180609	2018	1054958	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444656	03/06/2019	08:00	03/06/2019	06:30	Total Suspended Solids (TSS)	=	9	mg/L	A2540D	.37	1			Todd Ravazza	15-SEP-20 09.30.22.442000 AM
Industrial	2 01I000434	180609	2018	1054958	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444656	03/06/2019	08:00	03/06/2019	06:30	Oil and Grease	DNQ	0	mg/L	A5220B	1.5	5.6			Todd Ravazza	15-SEP-20 09.30.22.442000 AM
Industrial	2 01I000434	180609	2018	1054960	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444659	03/20/2019	08:00	03/20/2019	07:15	Total Suspended Solids (TSS)	=	14	mg/L	A2540D	.37	1			Todd Ravazza	15-SEP-20 09.43.46.598000 AM
Industrial	2 01I000434	180609	2018	1054960	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444659	03/20/2019	08:00	03/20/2019	07:15	Oil and Grease	<	1.6	mg/L	E1664A	1.3	5			Todd Ravazza	15-SEP-20 09.43.46.598000 AM
Industrial	2 01I000434	180609	2018	1054960	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444659	03/20/2019	08:00	03/20/2019	07:15	Iron, Total	=	.73	mg/L	E200.7	.4	1			Todd Ravazza	15-SEP-20 09.43.46.598000 AM
Industrial	2 01I000434	180609	2018	1054960	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2444659	03/20/2019	08:00	03/20/2019	07:15	pH	=	6.6	SU	pH_Field	.1	.1			Todd Ravazza	15-SEP-20 09.43.46.598000 AM
Industrial	2 01I000434	180609	2019	1099441	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2498814	01/16/2020	14:00	01/16/2020	13:15	Total Suspended Solids (TSS)	=	9.1	mg/L	A2540D	.37	1			Todd Ravazza	04-FEB-20 03.45.10.800000 PM
Industrial	2 01I000434	180609	2019	1099441	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2498814	01/16/2020	14:00	01/16/2020	13:15	pH	=	8	SU	pH_Paper	1	14			Todd Ravazza	04-FEB-20 03.45.10.800000 PM
Industrial	2 01I000434	180609	2019	1099441	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2498814	01/16/2020	14:00	01/16/2020	13:15	Oil and Grease	=	1.6	mg/L	E1664A	1.3	5.1			Todd Ravazza	04-FEB-20 03.45.10.800000 PM
Industrial	2 01I000434	180609	2019	1099441	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2498814	01/16/2020	14:00	01/16/2020	13:15	Iron, Total	=	.83	mg/L	E200.7	.12	.2			Todd Ravazza	04-FEB-20 03.45.10.800000 PM
Industrial	2 01I000434	180609	2020	1141796	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550921	12/17/2020	10:10	12/17/2020	09:30	Iron, Total	=	.35	mg/L	E200.7	.05	.1			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1141796	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550921	12/17/2020	10:10	12/17/2020	09:30	Total Suspended Solids (TSS)	=	10	mg/L	A2540D	.3	1			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1141796	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550921	12/17/2020	10:10	12/17/2020	09:30	Oil and Grease	=	2.5	mg/L	E1664A	1.4	5			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1141796	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550921	12/17/2020	10:10	12/17/2020	09:30	pH	=	8.24	SU	pH_Field	1	1			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1141808	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550954	01/04/2021	13:00	01/04/2021	12:30	pH	=	8	SU	pH_Field	1	1			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1141808	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550954	01/04/2021	13:00	01/04/2021	12:30	Total Suspended Solids (TSS)	=	110	mg/L	A2540D	.3	1			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1141808	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550954	01/04/2021	13:00	01/04/2021	12:30	Iron, Total	=	4	mg/L	E200.7	.05	.1			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1141808	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2550954	01/04/2021	13:00	01/04/2021	12:30	Oil and Grease	ND		mg/L	E1664A	1.4	5			Christopher Beecher	12-FEB-21 11.27.58.647000 AM
Industrial	2 01I000434	180609	2020	1142635	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2552833	01/27/2021	08:15	01/27/2021	06:30	Oil and Grease	ND		mg/L	E1664A	1.4	5			Carl Ohlhausen	23-FEB-21 11.44.57.304000 AM
Industrial	2 01I000434	180609	2020	1142635	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2552833	01/27/2021	08:15	01/27/2021	06:30	pH	=	8	SU	pH_Field	1	1			Carl Ohlhausen	23-FEB-21 11.44.57.304000 AM
Industrial	2 01I000434	180609	2020	1142635	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2552833	01/27/2021	08:15	01/27/2021	06:30	Total Suspended Solids (TSS)	=	12	mg/L	A2540D	.3	1			Carl Ohlhausen	23-FEB-21 11.44.57.304000 AM
Industrial	2 01I000434	180609	2020	1142635	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2552833	01/27/2021	08:15	01/27/2021	06:30	Iron, Total	=	.47	mg/L	E200.7	.05	.1			Carl Ohlhausen	23-FEB-21 11.44.57.304000 AM
Industrial	2 01I000434	180609	2021	1168910	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2580255	10/25/2021	07:55	10/25/2021	04:30	Iron, Total	=	.76	mg/L	E200.7	.05	.1			Carl Ohlhausen	16-NOV-21 10.37.43.163000 AM
Industrial	2 01I000434	180609	2021	1168910	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2580255	10/25/2021	07:55	10/25/2021	04:30	Oil and Grease	ND		mg/L	E1664A	1.4	5			Carl Ohlhausen	16-NOV-21 10.37.43.163000 AM
Industrial	2 01I000434	180609	2021	1168910	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2580255	10/25/2021	07:55	10/25/2021	04:30	pH	=	7	SU	pH_Field	1	1			Carl Ohlhausen	16-NOV-21 10.37.43.163000 AM
Industrial	2 01I000434	180609	2021	1168910	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2580255	10/25/2021	07:55	10/25/2021	04:30	Total Suspended Solids (TSS)	=	16	mg/L	A2540D	1	1			Carl Ohlhausen	16-NOV-21 10.37.43.163000 AM
Industrial	2 01I000434	180609	2021	1175135	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2596776	12/13/2021	12:45	12/13/2021	09:45	Total Suspended Solids (TSS)	=	8.2	mg/L	A2540D	1	1			Michael Taylor	20-JAN-22 11.27.52.895000 AM
Industrial	2 01I000434	180609	2021	1175135	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2596776	12/13/2021	12:45	12/13/2021	09:45	Iron, Total	=	.21	mg/L	E200.7	.05	.1			Michael Taylor	20-JAN-22 11.27.52.895000 AM
Industrial	2 01I000434	180609	2021	1175135	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2596776	12/13/2021	12:45	12/13/2021	09:45	Oil and Grease	ND		mg/L	E1664A	1.4	5			Michael Taylor	20-JAN-22 11.27.52.895000 AM
Industrial	2 01I000434	180609	2021	1175135	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2596776	12/13/2021	12:45	12/13/2021	09:45	pH	=	7	SU	pH_Field	1	1			Michael Taylor	20-JAN-22 11.27.52.895000 AM
Industrial	2 01I000434	180609	2021	1181935	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2609018	03/28/2022	09:30	03/28/2022	09:30	Iron, Total	=	1.7	mg/L	E200.7	.05	.1			Michael Taylor	06-MAY-22 07.07.21.429000 AM
